channel,metric,overall_mean
LY,DTW,586.6015259711032
LY,Lag,-31.136598851417396
LY,MAE,0.11197100717253221
LY,R2,-1.4631304482566165
LY,RMSE,0.1585707144598453
LY,sMAPE,103.0311144339374
RY,DTW,518.7905845256993
RY,Lag,-19.456845674486804
RY,MAE,0.10093831597625498
RY,R2,-0.5378107534035065
RY,RMSE,0.14633176202097892
RY,sMAPE,105.31144843677154
